Name,Property_Type,Bedrooms1,Baths,Balcony,City,Location,total_sqft,Price_per_SQFT,Price
Arvind Oasis by Arvind SmartSpaces Ltd,Flat,2,3,Yes,Bangalore,"Nagasandra, Bangalore",1086,7920,8600000
SMR Vinay Estella,Flat,2,3,Yes,Bangalore,"Vidyaranyapura, Bangalore",1210,5290,6400000
Prestige Jindal City,Flat,1,2,Yes,Bangalore,"Anchepalya, Bangalore",607,8240,5000000
Arvind Oasis by Arvind SmartSpaces Ltd,Flat,2,3,No,Bangalore,"Nagasandra, Bangalore",1086,7830,8500000
Concorde Spring Meadows by Concorde Housing Corporation Pvt. Ltd.,Flat,2,3,No,Bangalore,"Aivarkhandpur, Bangalore",1036,6760,7000000
Concorde Spring Meadows by Concorde Housing Corporation Pvt. Ltd.,Flat,2,3,No,Bangalore,"Aivarkhandpur, Bangalore",1036,6760,7000000
Concorde Spring Meadows by Concorde Housing Corporation Pvt. Ltd.,Flat,1,1,No,Bangalore,"Aivarkhandpur, Bangalore",800,6250,5000000
Shriram Blue,Flat,2,3,No,Bangalore,"Dodpete, Nagarathpet,Bangalore",1285,6930,8900000
Prestige Jindal City by Prestige Estates Projects Ltd.,Flat,1,2,Yes,Bangalore,"Nagasandra, Bangalore",607,9720,5900000
Shapoorji Pallonji Parkwest Phase 2,Flat,1,2,Yes,Bangalore,"Ranganatha Colony, Jagajeevanram Nagar,Bangalore",660,10910,7200000
Godrej Aqua,Flat,2,3,No,Bangalore,"Hosahalli, Bangalore",1103,6800,7500000
Sipani Royal Heritage by  Sipani Properties Private Limited ,Flat,1,2,Yes,Bangalore,"Biotech Park, Chandapura,Bangalore",590,4490,2650000
Provident Sunworth,Flat,2,3,No,Bangalore,"Kambipura, Bangalore",880,6820,6000000
CGA Rainbow,Flat,2,3,No,Bangalore,"Thirumagondanahalli, Bangalore",1080,4170,4500000
Arvind Oasis,Flat,3,3,Yes,Bangalore,"Nagasandra, Bangalore",1297,7320,9500000
Provident Sunworth,Flat,3,3,No,Bangalore,"Kambipura, Bangalore",1082,5730,6200000
Mantri Webcity by Mantri Developers,Flat,3,3,Yes,Bangalore,"Kothanur, Bangalore",1445,6570,9500000
Estrella,Flat,2,3,No,Bangalore,"Devasthanagalu, Varthur,Bangalore",1200,4580,5500000
Mukunda Brundhavan,Flat,2,3,Yes,Bangalore,"Kadugodi, Krishnarajapura,Bangalore",1205,4560,5500000
Bavisha Urban Homes Phase II,Flat,3,3,No,Bangalore,"Sree Narayana Nagar, Kada Agrahara,Bangalore",950,4740,4500000
Sipani Royal Heritage,Flat,2,3,Yes,Bangalore,"Iggalur, Bangalore",835,4020,3355000
Sattva Anugraha,Flat,1,2,No,Bangalore,"Cauvery Nagar, Vijayanagar,Bangalore",500,8600,4300000
Inspira Tropical Garden,Flat,2,3,No,Bangalore,"Janatha Colony, Carmelaram,Bangalore",1159,5260,6100000
Provident Park Square by Provident Housing Limited,Flat,2,3,Yes,Bangalore,"Lingadheeranahalli, Bangalore",880,8520,7500000
Prestige Jindal City,Flat,2,3,No,Bangalore,"Anchepalya, Bangalore",1085,7930,8600000
Provident Park Square by Provident Housing Limited,Flat,2,3,Yes,Bangalore,"Lingadheeranahalli, Bangalore",850,8820,7500000
GM Ambitious Enclave,Flat,3,3,Yes,Bangalore,"Veer Sandra, Electronic City Phase II,Bangalore",990,6060,6000000
GMC One Apartment,Flat,3,3,Yes,Bangalore,"Kengeri, Bangalore",1390,4960,6900000
Provident Sunworth,Flat,2,3,Yes,Bangalore,"Kengeri Hobli, Bangalore",883,10760,9500000
Provident Sunworth by Provident Housing Limited,Flat,2,3,Yes,Bangalore,"Meenakshi Layout, Kengeri,Bangalore",1100,5270,5800000
Concorde Spring Meadows,Flat,2,3,No,Bangalore,"HMT Estate, Jalahalli,Bangalore",1139,5970,6800000
Prestige Royale Gardens,Flat,2,3,No,Bangalore,"Muddanahalli, Bangalore",1267,6790,8600000
Prestige Royale Gardens,Flat,2,3,No,Bangalore,"Muddanahalli, Bangalore",1305,5590,7300000
Provident Park Square by Provident Housing Limited,Flat,3,3,Yes,Bangalore,"Lingadheeranahalli, Bangalore",1200,7330,8800000
Vajram Tiara,Flat,1,2,No,Bangalore,"Yelahanka, Bangalore",595,10080,6000000
Prestige Finsbury Park Regent by Prestige Estates Projects Ltd.,Flat,2,3,No,Bangalore,"BEML Layout, Bagalur,Bangalore",999,7010,7000000
Prestige Finsbury Park Regent by Prestige Estates Projects Ltd.,Flat,2,3,Yes,Bangalore,"BEML Layout, Bagalur,Bangalore",999,7010,7000000
Prestige Finsbury Park Regent by Prestige Estates Projects Ltd.,Flat,2,3,No,Bangalore,"BEML Layout, Bagalur,Bangalore",999,7010,7000000
 Midhila Deluxe,Flat,2,3,No,Bangalore,"Prakruthi Nagar, Kogilu,Bangalore",1080,4540,4900000
MJR Clique Hydra,Flat,2,3,Yes,Bangalore,"Gollahalli, Electronic City,Bangalore",1060,6130,6500000
Provident Park Square by Provident Housing Limited,Flat,2,3,Yes,Bangalore,"Judicial Layout, Bangalore",900,7220,6500000
Provident Sunworth,Flat,2,3,No,Bangalore,"Byadralli, Bangalore",883,5100,4500000
Nandi Woods,Flat,2,3,Yes,Bangalore,"Phase 2, Tejaswini Nagar,Bangalore",1200,5000,6000000
Sipani Royal Heritage,Flat,1,2,No,Bangalore,"Terracon Doctors Enclave, Chandapura,Bangalore",590,5000,2950000
Provident Harmony,Flat,3,3,Yes,Bangalore,"Chokkanahalli, Bangalore",1241,6450,8000000
Trifecta Esplanade,Flat,2,3,Yes,Bangalore,"Kumbena Agrahara, Krishnarajapura,Bangalore",1100,5910,6500000
Provident Sunworth,Flat,3,3,No,Bangalore,"Kengeri Hobli, Bangalore",1082,4620,5000000
DSR White Waters II,Flat,2,3,No,Bangalore,"Gunjur Palya, Bangalore",1109,6130,6800000
Sattva East Crest,Flat,2,3,Yes,Bangalore,"Konadasapura, Bangalore",1157,7350,8500000
Sobha Dream Acres,Flat,1,2,Yes,Bangalore,"Panathur, Bangalore",700,8570,6000000
Mahaveer Ranches,Flat,1,2,Yes,Bangalore,"Sai Sree Layout, Parappana Agrahara,Bangalore",598,9200,5500000
Provident Sunworth,Flat,2,3,No,Bangalore,"Kengeri Hobli, Bangalore",883,7930,7000000
Safco Blue Sky by Safco Properties and Developers,Flat,2,3,No,Bangalore,"Manayata Tech Park, Thanisandra,Bangalore",1202,5410,6500000
LVS Heights,Flat,2,3,Yes,Bangalore,"Hallehalli, Bangalore",1195,5440,6500000
Vijetha Elysium,Flat,2,3,Yes,Bangalore,"Narayanappa Garden, Whitefield,Bangalore",1270,4330,5500000
Brigade Meadows by Brigade Enterprises Ltd,Flat,2,3,No,Bangalore,"Lingadheeranahalli, Bangalore",950,6110,5800000
Aswani Aaeesha,Flat,2,2,No,Bangalore,"Konappana Agrahara, Rayasandra,Bangalore",600,5330,3200000
Myhna Maple,Flat,2,3,Yes,Bangalore,"Devasthanagalu, Varthur,Bangalore",1045,7180,7500000
Shriram Surabhi,Flat,2,3,Yes,Bangalore,"Lingadheeranahalli, Bangalore",924,6490,6000000
Blue Wings,Flat,2,3,No,Bangalore,"Vibhutipura, Bangalore",1080,6670,7200000
Blue Wings,Flat,2,3,No,Bangalore,"Vibhutipura, Bangalore",1100,6820,7500000
Prakruthi Hillcrest by Prakruthi Shelters,Flat,2,3,Yes,Bangalore,"Srinivasa Nagar, Banashankari,Bangalore",1000,6700,6700000
Prakruthi Hillcrest by Prakruthi Shelters,Flat,2,3,No,Bangalore,"Srinivasa Nagar, Banashankari,Bangalore",1000,6700,6700000
PRISTINE SINDHU,Flat,2,3,Yes,Bangalore,"Subramanyapura, Bangalore",1164,5150,6000000
Abhee Nandika,Flat,2,3,Yes,Bangalore,"Chandapura, Bangalore",870,4340,3776000
HM Symphony,Flat,2,3,No,Bangalore,"Eastwood Township, Kasavanahalli,Bangalore",1200,6920,8300000
First Daisy,Flat,2,3,Yes,Bangalore,"AECS Layout, Singasandra,Bangalore",1188,5890,7000000
Raaya Homes,Flat,3,3,No,Bangalore,"Sorahunase, Bangalore",1495,3910,5850000
PSR Aster,Flat,2,3,Yes,Bangalore,"Volagerekallahalli, Bangalore",1240,5640,7000000
MK Shri Sai Lake Ville by M K Builders,Flat,2,3,No,Bangalore,"Devasthanagalu, Varthur,Bangalore",1155,4330,5000000
KSR Cordelia,Flat,2,3,No,Bangalore,"Rachenahalli, Thanisandra,Bangalore",1256,7170,9000000
Akshaya Classic Home,Flat,2,3,Yes,Bangalore,"Omkar Nagar, Arakere,Bangalore",1350,5550,7500000
Anriya Greinberg Apartments by Anriya Group,Flat,3,3,Yes,Bangalore,"Judicial Layout, Bangalore",1745,5100,8900000
Ahad Excellencia,Flat,2,3,Yes,Bangalore,"Choodasandra, Bangalore",1146,7420,8500000
Oakwood Apartments,Flat,3,3,No,Bangalore,"Dodda Kempaiah Layout, Kalkere,Bangalore",1480,5340,7900000
Ravoos Rainbow,Flat,2,3,No,Bangalore,"Narayanappa Garden, Whitefield,Bangalore",1165,3950,4600000
Karnataka Kengeri Diamond,Flat,2,3,No,Bangalore,"BSM Extension, Kengeri Satellite Town,Bangalore",1030,5830,6000000
Mantri Global Heights,Flat,3,3,Yes,Bangalore,"Ardendale, Kannamangala,Bangalore",1625,4620,7500000
SLV Pride by SLV Projects Pvt. Ltd.,Flat,2,3,Yes,Bangalore,"Sector 2, HSR Layout,Bangalore",1136,5150,5850000
SLS Silicon Valley,Flat,3,3,Yes,Bangalore,"Belathur, Krishnarajapura,Bangalore",1311,5490,7200000
Soorya Signature by Soorya Homes,Flat,2,3,Yes,Bangalore,"Chamundi Nagar, Hebbal,Bangalore",1628,4610,7500000
Abhee Nandika,Flat,2,2,Yes,Bangalore,"Bommasandra Industrial Area, Bommasandra,Bangalore",800,4380,3500000
Chaithrashree Comforts,Flat,2,3,No,Bangalore,"Remco Housing Society, RR Nagar,Bangalore",1210,6200,7500000
Candeur Rise,Flat,2,3,No,Bangalore,"Varthur, Bangalore",1170,6070,7100000
Sona Vistaas,Flat,1,2,No,Bangalore,"DLF Newtown, Akshayanagar,Bangalore",532,8080,4300000
Dynamic Krishna Aashraya,Flat,3,3,Yes,Bangalore,"Jinke Thimmanahalli, Ramamurthy Nagar,Bangalore",1485,5050,7500000
Nishant Prime,Flat,2,3,No,Bangalore,"Immadihalli, Whitefield,Bangalore",1219,6810,8300000
Ideal Apartments,Flat,2,3,Yes,Bangalore,"Javarandoddi, RR Nagar,Bangalore",1200,6250,7500000
Bhartiya Nikoo Homes,Flat,2,3,Yes,Bangalore,"Devin Paradise Enclave, Tirumanahalli,Bangalore",1098,7560,8300000
Sumadhura Aspire Aurum by Sumadhura Homes LLP,Flat,2,3,Yes,Bangalore,"V S Reddy Colony, Kadugodi,Bangalore",955,6810,6500000
DS Max Sigma,Flat,3,3,No,Bangalore,"Gollahalli, Electronic City,Bangalore",1448,6210,9000000
Godrej E City,Flat,2,3,No,Bangalore,"Electronic City, Bangalore",1028,6810,6999000
Prakruthi Krishna,Flat,3,3,Yes,Bangalore,"Vaishnavi Layout, Vidyaranyapura,Bangalore",1621,4930,8000000
Prashant Residency,Flat,2,3,No,Bangalore,"Akshayanagara East, Akshayanagar,Bangalore",1100,4360,4800000
Ahad Silver Crown,Flat,2,3,Yes,Bangalore,"Lakedew Residency- Phase 2, Harlur,Bangalore",1202,5100,6130000
Godrej E City,Flat,3,3,No,Bangalore,"Electronic City, Bangalore",1440,6390,9200000
Sindhura Residency,Flat,2,3,Yes,Bangalore,"Electronic City, Bangalore",1100,3640,4000000
Century Breeze,Flat,2,3,Yes,Bangalore,"Nehru Nagar, Bangalore",1279,6800,8700000
SNN Raj Serenity,Flat,2,3,Yes,Bangalore,"Yelenahalli, Akshayanagar,Bangalore",950,6530,6200000
Sumuka Residency,Flat,2,3,Yes,Bangalore,"Akshayanagara East, Akshayanagar,Bangalore",1000,8000,8000000
Sumukha Greenville,Flat,2,3,No,Bangalore,"Sundar Ram Shetty Nagar, Bilekahalli,Bangalore",1160,6900,8000000
Icon Honey Pool by Iconhomz,Flat,2,3,Yes,Bangalore,"Kachanayakanahalli, Bommasandra,Bangalore",827,4350,3600000
SLV Greencity,Flat,2,3,No,Bangalore,"Chokkanahalli, Bangalore",1015,5810,5900000
Unique Concord,Flat,2,3,No,Bangalore,"Tatanagar, Devinagar,Bangalore",1161,5860,6800000
Bhavana Residency,Flat,2,3,No,Bangalore,"Horamavu Agara, Horamavu,Bangalore",1160,4310,5000000
Sai Sunshine,Flat,2,3,No,Bangalore,"Dodsworth Layout, Whitefield,Bangalore",1135,5550,6300000
Bhavana Residency,Flat,2,3,Yes,Bangalore,"Horamavu Agara, Horamavu,Bangalore",1160,4480,5200000
Samvriddhi Gardenia,Flat,3,3,Yes,Bangalore,"Sahakara Nagar, Bangalore",1700,5590,9500000
Sai Sunshine,Flat,2,3,Yes,Bangalore,"Dodsworth Layout, Whitefield,Bangalore",1135,5550,6300000
i1 Tulasi Premier,Flat,2,3,No,Bangalore,"Volagerekallahalli, Bangalore",1200,5000,6000000
Shriram Surabhi,Flat,2,3,No,Bangalore,"Mallasandra, Bangalore",924,6820,6300000
Arvind Skylands,Flat,2,3,Yes,Bangalore,"Nehru Nagar, Bangalore",1200,7500,9000000
Anvitha Delight,Flat,2,3,No,Bangalore,"Virgonagar Industrial Estate, Aavalahalli,Bangalore",1140,3810,4350000
SNN Raj Serenity,Flat,2,3,Yes,Bangalore,"Yelenahalli, Akshayanagar,Bangalore",905,6960,6300000
Mahaveer Orchids,Flat,2,2,Yes,Bangalore,"Choodasandra, Bangalore",725,4960,3600000
Sowparnika Tharangini,Flat,3,3,Yes,Bangalore,"Ittangur, Bangalore",1322,5290,7000000
Sowparnika Sai Krishna,Flat,2,3,Yes,Bangalore,"Kada Agrahara, Bangalore",926,6480,6000000
Midtown Opulent,Flat,2,3,Yes,Bangalore,"Sorahunase, Bangalore",1140,5440,6200000
Suraksha Sunflower by Suraksha Properties,Flat,2,3,No,Bangalore,"Sundar Ram Shetty Nagar, Bilekahalli,Bangalore",1100,5910,6500000
Puravankara Purva Highlands by Puravankara Limited,Flat,2,3,No,Bangalore,"Lingadheeranahalli, Bangalore",1340,5750,7700000
SLS Sunflower,Flat,2,3,No,Bangalore,"Bhoganhalli, Bangalore",1070,7010,7500000
Sowparnika Sanvi,Flat,2,3,Yes,Bangalore,"Vijay Nagar, Whitefield,Bangalore",1116,6180,6900000
Vakil Whispering Woods Residences,Flat,2,3,No,Bangalore,"Thirumagondanahalli, Bangalore",871,4360,3800000
Puravankara Purva Highlands,Flat,2,3,No,Bangalore,"Vakil Garden City, Bangalore",1340,5970,8000000
Abhee Nakshatra,Flat,3,3,Yes,Bangalore,"Mullur, Bangalore",1474,6240,9200000
NR Windgates,Flat,3,3,Yes,Bangalore,"Chokkanahalli, Bangalore",1422,6680,9500000
Pearlite Lakeside,Flat,2,3,Yes,Bangalore,"Sai Meadows, Parappana Agrahara,Bangalore",1233,5270,6500000
Mahaveer Calyx,Flat,3,3,Yes,Bangalore,"Addischetan Layout, Bommanahalli,Bangalore",1430,5590,8000000
Vijaya Vijay Mansion,Flat,2,3,No,Bangalore,"Pai Layout, Mahadevapura,Bangalore",1467,4290,6300000
Vijaya Vijay Mansion,Flat,2,3,No,Bangalore,"Pai Layout, Mahadevapura,Bangalore",1467,4290,6300000
Shree Tirumala Sunidhi Desire,Flat,2,3,Yes,Bangalore,"Devarachikkana Halli, Bangalore",1084,5540,6000000
Aratt Premier,Flat,2,3,No,Bangalore,"Seetharampalya, Hoodi,Bangalore",1102,7440,8200000
Sri Sai samruddi enclave,Flat,2,3,Yes,Bangalore,"B Narayanapura, Mahadevapura,Bangalore",1160,6900,8000000
Accent Ashelar by Accent Homez,Flat,2,3,Yes,Bangalore,"Chikkanagamangala, Bangalore",1650,3940,6500000
Marvel Shine,Flat,2,3,No,Bangalore,"Mariyannapalya, Hebbal Kempapura,Bangalore",1200,5000,6000000
Prakruthi Krishna Apartments,Flat,3,3,Yes,Bangalore,"Vaishnavi Layout, Vidyaranyapura,Bangalore",1621,4630,7500000
DS Max Signature,Flat,2,3,No,Bangalore,"Devinagar, Bangalore",1241,5960,7400000
Aswani Aaeesha,Flat,2,2,Yes,Bangalore,"Konappana Agrahara, Rayasandra,Bangalore",545,8260,4500000
Artha Citrine by Artha Property,Flat,1,2,Yes,Bangalore,"Attibele, Bangalore",500,5000,2500000
Vensa Residency,Flat,3,3,Yes,Bangalore,"Aishwarya Crystal Layout, Singasandra,Bangalore",1710,5610,9600000
Fortuna Acacia,Flat,2,3,Yes,Bangalore,"Sahakara Nagar, Bangalore",1100,7450,8200000
Kumar Princetown,Flat,2,3,No,Bangalore,"Shetty Halli, Jalahalli West,Bangalore",1080,6570,7100000
Shreedevi Devin Indra Paradise,Flat,2,3,No,Bangalore,"Devin Paradise Enclave, Chokkanahalli,Bangalore",1140,5610,6400000
Godrej Nurture by Godrej Properties Ltd. ,Flat,2,3,Yes,Bangalore,"Veer Sandra, Electronic City Phase II,Bangalore",991,9080,9000000
Pyramid Banksia by Pyramid Ventures,Flat,2,3,No,Bangalore,"Yelahanka, Bangalore",1044,6700,7000000
DSMAX SANDALWOOD,Flat,3,3,Yes,Bangalore,"Nagasandra, Bangalore",1411,6020,8500000
Tetra Green Pride,Flat,3,3,Yes,Bangalore,"Balaji Layout, Chokkanahalli,Bangalore",1500,5670,8500000
DNA Iris,Flat,2,3,Yes,Bangalore,"Dodsworth Layout, Whitefield,Bangalore",1272,7080,9000000
Mythri Maiden,Flat,3,3,Yes,Bangalore,"Somasundarapalya, Bangalore",1475,4750,7000000
Golden Bell,Flat,2,3,No,Bangalore,"Jalahalli Village, Jalahalli,Bangalore",1064,6580,7000000
Splendor,Flat,3,3,Yes,Bangalore,"P&T Layout, Thanisandra,Bangalore",1650,5450,9000000
Crescent Crescent Magna,Flat,2,3,No,Bangalore,"Sultanpalya, Hebbal,Bangalore",1126,6220,7000000
 Vikas Orchid Apartments,Flat,2,3,Yes,Bangalore,"Mariyannapalya, Hebbal Kempapura,Bangalore",825,4730,3900000
Legacy Ariston,Flat,2,3,No,Bangalore,"Anantapura, Bangalore",1200,6250,7500000
V6 Golden Nest,Flat,2,3,Yes,Bangalore,"Jnana Ganga Nagar, Bangalore",1320,5300,7000000
Harmony,Flat,3,3,No,Bangalore,"Chokkanahalli, Bangalore",1241,6450,8000000
Ozone Urbana Meadows by Ozone Group,Flat,2,3,Yes,Bangalore,"Kothanur, Bangalore",953,8390,8000000
Lavyuk Elite Homes,Flat,2,3,Yes,Bangalore,"R.K. Hegde Nagar, Bangalore",1140,4560,5200000
Shastri Enclave,Flat,3,3,Yes,Bangalore,"Raghuvanahalli, Bangalore City Municipal Corporation Layout,Bangalore",1650,5450,9000000
Provident The Tree by Provident Housing Limited,Flat,2,3,No,Bangalore,"Harohalli, Bangalore",1116,5290,5900000
Provident The Tree by Provident Housing Limited,Flat,2,3,Yes,Bangalore,"Harohalli, Bangalore",1116,5290,5900000
Lotus Krest Phase I,Flat,2,3,No,Bangalore,"EPIP Zone, Brookefield,Bangalore",1372,5100,7000000
Baldota Spring Woods,Flat,3,3,Yes,Bangalore,"Kempe Gowda Nagar, Bangalore",1540,5700,8775000
Sowparnika Swastika,Flat,3,3,No,Bangalore,"Bidaraguppe, Bangalore",1464,3760,5500000
Sai Purvi Symphony,Flat,2,3,No,Bangalore,"Thippasandra, Bangalore",1330,5940,7900000
Dsmax Sherwood by DS-MAX Properties Private Limited,Flat,2,3,No,Bangalore,"Gunjur, Bangalore",1190,4620,5500000
Friends Paradise,Flat,2,3,Yes,Bangalore,"Sahakara Nagar, Bangalore",1225,6120,7500000
Lakevista,Flat,2,3,No,Bangalore,"Begur, Bangalore",1300,4620,6000000
The Commune,Flat,2,3,Yes,Bangalore,"Marsur, Bangalore",1050,4290,4500000
The Commune,Flat,2,3,No,Bangalore,"Marsur, Bangalore",1050,4290,4500000
Sathya Sathya Sai Paradise,Flat,2,3,No,Bangalore,"Bhoganhalli, Bangalore",1100,7730,8500000
Sowparnika Tharangini,Flat,2,3,Yes,Bangalore,"Ittangur, Bangalore",949,5480,5200000
Fortuna Blue Wings,Flat,2,3,No,Bangalore,"Vibhutipura, Bangalore",1090,6700,7300000
Shell North Gate,Flat,2,3,Yes,Bangalore,"Narayanapura, Bangalore",1215,7240,8800000
Pristine Reliable Green Fields by Pristine Builders,Flat,3,3,Yes,Bangalore,"Kudlu, Bangalore",1453,4680,6800000
Ankshu Ankshu Maple by TGR Projects India Pvt. Ltd,Flat,2,3,No,Bangalore,"Hampapura, Bangalore",1091,3480,3800000
Manya Elite,Flat,2,3,Yes,Bangalore,"Chikkathoguru Village, Bangalore",1200,5830,7000000
KHB Surya City,Flat,2,2,Yes,Bangalore,"Suryanagar, Bommasandra,Bangalore",650,4000,2600000
Srinidhi Aashritha by Srinidhi Constructions,Flat,2,3,Yes,Bangalore,"Amrutahalli, Bangalore",1188,5470,6500000
Veracious Vani Vilas by Veracious Builders & Developers (P) LTD,Flat,2,3,No,Bangalore,"Yelahanka, Bangalore",1380,5430,7500000
DS Max Stone Hill by DS-MAX Properties Private Limited,Flat,2,3,Yes,Bangalore,"Kanakadasa Layout, Lingarajapuram,Bangalore",900,6110,5500000
Riches Residency,Flat,2,3,No,Bangalore,"Jinke Thimmanahalli, NRI Layout,Bangalore",1350,4590,6200000
Mahaveer Thrishla,Flat,3,3,Yes,Bangalore,"RR Nagar, Bangalore",1380,5070,7000000
Icon Iconest,Flat,3,3,No,Bangalore,"RK Township, Bommasandra,Bangalore",850,6120,5200000
Bhanu Paradise,Flat,2,3,No,Bangalore,"Meganahalli, Kalyan Nagar,Bangalore",1050,4000,4200000
DS-MAX Seasons,Flat,2,3,Yes,Bangalore,"Islampur, Vibhutipura,Bangalore",975,6360,6200000
Vasundhara Residency,Flat,2,3,Yes,Bangalore,"Simhadri Layout, Subramanyapura,Bangalore",1350,3410,4600000
Amigo Sri Sai Supreme,Flat,2,3,Yes,Bangalore,"Himagiri Meadows, Gottigere,Bangalore",1089,5510,6000000
Om Sai Residency,Flat,2,3,Yes,Bangalore,"Simhadri Layout, Subramanyapura,Bangalore",1145,5070,5800000
Arya Heights,Flat,2,3,Yes,Bangalore,"Talaghattapura, Bangalore",1179,3790,4470000
SJR Hamilton Homes,Flat,3,3,Yes,Bangalore,"Gattahalli, Bangalore",1229,5290,6500000
KP Aaditya by K. Patel Realty,Flat,2,3,Yes,Bangalore,"Vadarpalya, Hennur,Bangalore",1188,5470,6500000
Mahaveer Turquoise,Flat,1,2,No,Bangalore,"Basapura, Bangalore",550,7270,4000000
Arun Patios by Arun Shelters,Flat,2,3,Yes,Bangalore,"Yelahanka, Bangalore",1020,5390,5500000
Gurukrupa Residency,Flat,3,3,No,Bangalore,"Srinivasa Nagar, Banashankari,Bangalore",1532,5000,7660000
Manar Mansion Apartment,Flat,2,3,No,Bangalore,"Industrial Layout, Kudlu Gate,Bangalore",1037,4920,5100000
Srinivasa Sai Poorna Luxuria,Flat,2,3,Yes,Bangalore,"Reliaable Tranquil Layout, Bangalore",1440,5210,7500000
Prabhavathi Paramount A and B,Flat,2,3,No,Bangalore,"Kammasandra, Electronic City,Bangalore",865,2890,2500000
Sowparnika Purple Rose,Flat,2,3,No,Bangalore,"Hoskote, Bangalore",1017,3640,3700000
CC Aspire,Flat,2,3,Yes,Bangalore,"Munivenkatppa Layout, Bilekahalli,Bangalore",1114,6100,6800000
Prakruthi Hillcrest by Prakruthi Shelters,Flat,3,3,Yes,Bangalore,"Srinivasa Nagar, Banashankari,Bangalore",1350,5550,7500000
Sahiti Elegance,Flat,2,3,Yes,Bangalore,"Glass Factory Layout, Electronic City,Bangalore",1181,3980,4700000
BM Bhavisha Park,Flat,2,3,No,Bangalore,"Kada Agrahara, Bangalore",1100,2910,3200000
ELV Marvel,Flat,2,3,Yes,Bangalore,"Nallurhalli, Whitefield,Bangalore",1150,5480,6300000
Lakshmi Enclave,Flat,3,3,Yes,Bangalore,"Dattatreya Nagar, Hosakerehalli,Bangalore",1465,5800,8500000
GR Sankalpa by GR Constructions,Flat,2,3,No,Bangalore,"Choodasandra, Bangalore",1187,6320,7500000
Whitestone Milano,Flat,2,3,No,Bangalore,"Sonnenahalli, Krishnarajapura,Bangalore",1100,5450,6000000
Arvind Shambhavi,Flat,3,3,Yes,Bangalore,"Seenappa Layout, Bommanahalli,Bangalore",1356,5530,7500000
Srikara,Flat,2,3,Yes,Bangalore,"Omkar Nagar, Arakere,Bangalore",1098,6380,7000000
Icon Happy Living,Flat,2,2,Yes,Bangalore,"Kammasandra, Electronic City,Bangalore",674,5640,3800000
Aryan Arya Heights,Flat,2,3,Yes,Bangalore,"Talaghattapura, Bangalore",1179,3820,4500000
Webcity,Flat,2,3,No,Bangalore,"Narayanapura, Bangalore",1385,6280,8700000
PSR Aster,Flat,2,3,Yes,Bangalore,"Volagerekallahalli, Bangalore",980,5610,5500000
Unitech Yashodha Tranquil by Unitech Projects,Flat,2,3,No,Bangalore,"Ramanjaneyanagar, Chikkalasandra,Bangalore",1050,6190,6500000
Sai Durga Residency,Flat,2,3,Yes,Bangalore,"Tindlu, Vidyaranyapura,Bangalore",1250,6800,8500000
Sai Arcade,Flat,2,3,Yes,Bangalore,"Horamavu Agara, Horamavu,Bangalore",1000,4300,4300000
Vision Nest,Flat,2,3,No,Bangalore,"Eastwood Township, Kasavanahalli,Bangalore",1115,5380,6000000
Vmaks Chalet,Flat,3,3,Yes,Bangalore,"Veer Sandra, Electronic City Phase II,Bangalore",1787,4200,7500000
Maruthi Apartments,Flat,2,3,No,Bangalore,"K R Garden, Murugeshpalya,Bangalore",1250,4000,5000000
Sai Arcade,Flat,2,3,Yes,Bangalore,"Horamavu Agara, Horamavu,Bangalore",1000,4300,4300000
Sri Lakshmi Vallabh Residency ,Flat,2,3,Yes,Bangalore,"Subramanyapura, Bangalore",1050,5240,5500000
Sterling Residency,Flat,2,3,No,Bangalore,"Lottegollahalli, RMV Extension Stage 2,Bangalore",1173,8100,9500000
Pavan Residency,Flat,2,3,Yes,Bangalore,"Yelahanka, Bangalore",1020,4120,4200000
MSR Silicon Spring Apartment,Flat,2,3,Yes,Bangalore,"Belathur, Kadugodi,Bangalore",1080,4170,4500000
DS Max Sigma Nest,Flat,3,3,No,Bangalore,"Gollahalli, Electronic City,Bangalore",1510,4300,6500000
Shiva Heritage,Flat,2,3,No,Bangalore,"Vasantha Vallabha Nagar, Bikasipura,Bangalore",1000,6000,6000000
Anjanadri Willows,Flat,2,3,Yes,Bangalore,"Banjara Residency, Hennur,Bangalore",1200,5750,6900000
SLV Cauvery Nilaya by SLV Projects Pvt. Ltd.,Flat,3,3,Yes,Bangalore,"Yelahanka, Bangalore",1226,4490,5500000
DLF Maiden Heights at My Town,Flat,2,3,No,Bangalore,"Jigani, Bangalore",940,4150,3900000
Brigade Buena Vista Phase 2,Flat,2,3,No,Bangalore,"Bommenahalli, Bangalore",1148,8540,9800000
Siri Asphire,Flat,2,3,No,Bangalore,"2 Stage, Uttarahalli Hobli,Bangalore",1005,5470,5500000
Global Pinnacle,Flat,2,3,No,Bangalore,"K Channasandra, Bangalore",1240,5000,6200000
Navajyothi Nava Sannidhi by Nava Jyothi Construction,Flat,2,3,No,Bangalore,"Horamavu Agara, Horamavu,Bangalore",1180,5080,6000000
Abhee Nakshatra,Flat,2,3,No,Bangalore,"Eastwood Township, Harlur,Bangalore",1195,6360,7600000
 KB Eco City,Flat,2,3,Yes,Bangalore,"Kammasandra, Electronic City,Bangalore",825,3880,3200000
